game,word,score,fallback
0,abaca,3,False
1,aback,2,False
2,abaft,3,False
3,abase,2,False
4,abash,2,False
5,abate,3,False
6,abbey,4,False
7,abbot,4,False
8,abdal,3,False
9,abeam,4,False
10,abest,3,False
11,abhor,3,False
12,abide,2,False
13,abies,3,False
14,abiit,4,False
15,abito,3,False
16,abode,3,False
17,abohm,3,False
18,abois,4,False
19,abord,3,False
20,abort,3,False
21,about,4,False
22,above,3,False
23,abuna,5,False
24,abuse,4,False
25,abuzz,6,False
26,abysm,4,False
27,abyss,5,False
28,accoy,5,False
29,accra,5,False
30,acerb,3,False
31,achar,3,False
32,ackee,4,False
33,acned,3,False
34,acold,3,False
35,acorn,4,False
36,acres,3,False
37,acrid,3,False
38,acris,5,False
39,acted,4,False
40,actin,4,False
41,actor,4,False
42,actum,4,False
43,actus,5,False
44,acute,4,False
45,adlib,2,False
46,adaga,3,False
47,adage,3,False
48,adams,4,False
49,adapa,5,False
50,adapt,4,False
51,addax,6,False
52,added,5,False
53,adder,4,False
54,addle,3,False
55,adeem,5,False
56,adept,4,False
57,adieu,4,False
58,adige,3,False
59,aditi,3,False
60,adjuc,3,False
61,admit,4,False
62,adobe,3,False
63,adobo,3,False
64,adopt,5,False
65,adore,4,False
66,adorn,4,False
67,adown,5,False
68,adult,5,False
69,adust,5,False
70,aedes,4,False
71,aegis,3,False
72,aegri,3,False
73,aequa,6,False
74,aequo,5,False
75,aerie,4,False
76,aesir,4,False
77,aesop,4,False
78,aetas,6,False
79,affix,5,False
80,afire,3,False
81,aflak,4,False
82,afoot,4,False
83,afore,4,False
84,afoul,4,False
85,afric,4,False
86,after,3,False
87,again,3,False
88,agama,4,False
89,agape,4,False
90,agate,5,False
91,agave,6,False
92,agaze,7,False
93,agent,4,False
94,aggro,5,False
95,aghan,4,False
96,agile,3,False
97,aging,5,False
98,agjus,4,False
99,aglet,5,False
100,aglow,5,False
101,agnus,4,False
102,agony,4,False
103,agora,4,False
104,agree,4,False
105,ahead,3,False
106,ahura,5,False
107,aimer,4,False
108,aioli,3,False
109,aired,4,False
110,aisle,4,False
111,aitch,2,False
112,aiunt,5,False
113,ajaia,4,False
114,ajuga,5,False
115,akron,4,False
116,alack,4,False
117,alamo,5,False
118,alarm,4,False
119,alate,6,False
120,album,3,False
121,alcea,4,False
122,alces,5,False
123,alder,3,False
124,aldol,5,False
125,aleph,2,False
126,alert,5,False
127,aleut,6,False
128,algal,4,False
129,alget,4,False
130,algid,3,False
131,algin,3,False
132,algol,4,False
133,alias,6,False
134,alibi,3,False
135,alien,4,False
136,align,4,False
137,aliis,5,False
138,alike,3,False
139,alive,4,False
140,alkyd,4,False
141,alkyl,5,False
142,allah,5,False
143,allay,5,False
144,aller,6,False
145,alley,6,False
146,allot,4,False
147,allow,5,False
148,alloy,6,False
149,allyl,6,False
150,alnus,5,False
151,aloes,4,False
152,aloft,4,False
153,alogy,4,False
154,aloha,4,False
155,alone,4,False
156,along,3,False
157,aloof,5,False
158,alosa,4,False
159,aloud,4,False
160,alpha,4,False
161,altar,4,False
162,alter,5,False
163,alula,5,False
164,amain,5,False
165,amari,4,False
166,amass,5,False
167,amaze,4,False
168,amber,3,False
169,ambit,3,False
170,amble,3,False
171,ameba,4,False
172,ameer,5,False
173,amend,4,False
174,amice,3,False
175,amici,4,False
176,amide,3,False
177,amigo,4,False
178,amine,4,False
179,amino,4,False
180,amish,4,False
181,amiss,5,False
182,amity,5,False
183,amman,5,False
184,amnis,4,False
185,amole,4,False
186,among,4,False
187,amore,4,False
188,amort,4,False
189,amoto,5,False
190,amour,5,False
191,ample,5,False
192,amply,4,False
193,amuck,4,False
194,amuse,5,False
195,anasa,4,False
196,andes,4,False
197,anele,5,False
198,anent,5,False
199,angas,5,False
200,angel,4,False
201,anger,4,False
202,angle,4,False
203,angry,5,False
204,angst,4,False
205,anile,4,False
206,anima,5,False
207,anime,5,False
208,animi,3,False
209,animo,5,False
210,anion,4,False
211,anise,5,False
212,anjou,5,False
213,ankel,4,False
214,ankle,4,False
215,ankus,4,False
216,annex,4,False
217,annis,4,False
218,annoy,4,False
219,annul,6,False
220,annum,5,False
221,annus,6,False
222,anode,4,False
223,anser,5,False
224,antic,4,False
225,antum,5,False
226,anvil,4,False
227,aorta,5,False
228,aotus,5,False
229,apace,5,False
230,apart,6,False
231,apery,5,False
232,aphid,3,False
233,aphis,4,False
234,apian,5,False
235,aping,4,False
236,apios,4,False
237,apish,5,False
238,apium,5,False
239,apnea,5,False
240,appal,5,False
241,apple,6,False
242,apply,5,False
243,appro,4,False
244,apres,5,False
245,april,4,False
246,apron,5,False
247,aprum,4,False
248,aqaba,4,False
249,araba,4,False
250,arado,4,False
251,arare,6,False
252,arawn,6,False
253,arbor,4,False
254,arced,3,False
255,arceo,4,False
256,arcus,4,False
257,ardea,5,False
258,ardeb,3,False
259,ardet,4,False
260,ardor,5,False
261,areal,6,False
262,areas,5,False
263,areca,4,False
264,arena,5,False
265,arete,5,False
266,argil,4,False
267,argol,4,False
268,argon,4,False
269,argos,4,False
270,argot,5,False
271,argue,4,False
272,argus,5,False
273,arhat,5,False
274,ariel,4,False
275,aries,4,False
276,arins,5,False
277,arise,5,False
278,arius,5,False
279,armed,4,False
280,armet,4,False
281,armis,5,False
282,armor,5,False
283,aroid,4,False
284,aroma,5,False
285,arose,5,False
286,arras,6,False
287,array,6,False
288,arrow,6,False
289,arson,5,False
290,artem,5,False
291,artes,5,False
292,aruba,4,False
293,arulo,5,False
294,aruru,5,False
295,aryan,6,False
296,asana,6,False
297,asarh,3,False
298,ascii,4,False
299,ascot,4,False
300,ascus,5,False
301,ashen,3,False
302,ashes,3,False
303,ashur,4,False
304,asian,6,False
305,aside,4,False
306,asked,5,False
307,askew,5,False
308,aspen,4,False
309,asper,6,False
310,aspic,5,False
311,assai,5,False
312,assam,4,False
313,assay,5,False
314,asses,6,False
315,asset,5,False
316,assur,5,False
317,aster,5,False
318,astir,6,False
319,astra,5,False
320,asura,5,False
321,aswan,5,False
322,atajo,4,False
323,atilt,5,False
324,atlas,6,False
325,atole,5,False
326,atoll,4,False
327,atoms,5,False
328,atomy,6,False
329,atone,5,False
330,atony,5,False
331,atque,5,False
332,atqui,4,False
333,attar,5,False
334,attic,7,False
335,auden,5,False
336,audio,5,False
337,audit,5,False
338,auger,5,False
339,aught,4,False
340,augur,5,False
341,aurae,6,False
342,aural,5,False
343,aurar,5,False
344,aurea,5,False
345,aures,6,False
346,autre,5,False
347,auxin,4,False
348,avahi,4,False
349,avail,5,False
350,avant,6,False
351,avast,6,False
352,avena,6,False
353,avens,5,False
354,avert,5,False
355,avian,7,False
356,avile,5,False
357,aviso,5,False
358,avoid,5,False
359,avoir,4,False
360,avons,4,False
361,avunt,4,False
362,await,5,False
363,awake,6,False
364,award,5,False
365,aware,5,False
366,awful,4,False
367,awned,6,False
368,axial,6,False
369,axile,6,False
370,axiom,5,False
371,azide,5,False
372,azido,3,False
373,azoic,6,False
374,azote,6,False
375,aztec,4,False
376,azure,6,False
377,bgirl,3,False
378,babar,5,False
379,babel,5,False
380,bacon,3,False
381,badge,2,False
382,badli,2,False
383,badly,3,False
384,bagel,3,False
385,baggy,5,False
386,bairn,4,False
387,baiza,5,False
388,baize,3,False
389,baked,3,False
390,baker,3,False
391,balas,4,False
392,balky,3,False
393,balle,4,False
394,balls,3,False
395,balmy,4,False
396,balsa,5,False
397,banal,4,False
398,banch,2,False
399,banco,2,False
400,bands,3,False
401,bandy,4,False
402,banff,4,False
403,banjo,3,False
404,banns,6,False
405,bantu,5,False
406,barba,6,False
407,barbe,7,False
408,barbu,5,False
409,barde,3,False
410,barge,3,False
411,baric,2,False
412,barky,4,False
413,baron,4,False
414,barry,5,False
415,barye,6,False
416,basal,5,False
417,based,4,False
418,basel,4,False
419,basic,3,False
420,basil,3,False
421,basin,4,False
422,basis,5,False
423,basso,4,False
424,basta,5,False
425,baste,5,False
426,batch,3,False
427,bated,5,False
428,bathe,2,False
429,batik,3,False
430,batis,4,False
431,baton,5,False
432,batta,6,False
433,bavin,5,False
434,bawdy,4,False
435,bayou,4,False
436,beach,1,False
437,beads,3,False
438,beady,4,False
439,beams,4,False
440,beamy,5,False
441,beard,2,False
442,beast,4,False
443,beati,3,False
444,beats,4,False
445,beaut,5,False
446,bebas,3,False
447,bebop,6,False
448,beche,2,False
449,becks,2,False
450,bedel,3,False
451,bedew,4,False
452,bedim,2,False
453,beech,4,False
454,beefy,4,False
455,beery,6,False
456,befit,4,False
457,befog,3,False
458,beget,5,False
459,begin,3,False
460,begum,3,False
461,begun,4,False
462,beige,4,False
463,being,3,False
464,belay,2,False
465,belch,2,False
466,belie,5,False
467,bella,3,False
468,belle,6,False
469,belli,4,False
470,bello,4,False
471,bells,5,False
472,belly,5,False
473,below,4,False
474,belus,4,False
475,bench,3,False
476,benin,4,False
477,bercy,2,False
478,beret,5,False
479,beroe,7,False
480,berry,6,False
481,berth,2,False
482,beryl,5,False
483,beset,5,False
484,besom,4,False
485,besot,5,False
486,beste,6,False
487,betel,6,False
488,betty,6,False
489,bevel,7,False
490,bever,6,False
491,bevue,5,False
492,bezel,8,False
493,bhaga,3,False
494,bhang,2,False
495,bialy,3,False
496,bible,4,False
497,bibos,5,False
498,biddy,4,False
499,bidet,3,False
500,bifid,2,False
501,bight,2,False
502,bigot,4,False
503,bihar,2,False
504,bijou,4,False
505,bilbo,5,False
506,bilge,3,False
507,bilgy,4,False
508,bills,4,False
509,billy,5,False
510,bimbo,6,False
511,binge,4,False
512,bingo,3,False
513,bioko,4,False
514,biont,5,False
515,biota,4,False
516,biped,2,False
517,birch,2,False
518,birds,3,False
519,birth,3,False
520,bison,4,False
521,bitch,3,False
522,biter,3,False
523,bites,4,False
524,bitis,3,False
525,bitty,5,False
526,black,2,False
527,blade,2,False
528,blahs,4,False
529,blain,3,False
530,blame,3,False
531,blanc,2,False
532,bland,3,False
533,blank,3,False
534,blare,4,False
535,blase,5,False
536,blast,4,False
537,blaze,6,False
538,bleak,3,False
539,blear,4,False
540,bleat,5,False
541,bleed,4,False
542,bleep,3,False
543,blend,3,False
544,bless,5,False
545,blest,4,False
546,bligh,2,False
547,blimp,5,False
548,blind,3,False
549,blini,5,False
550,blink,4,False
551,bliss,7,False
552,blitz,6,False
553,bloat,3,False
554,block,3,False
555,blodd,4,False
556,bloke,4,False
557,blond,3,False
558,blood,5,False
559,bloom,5,False
560,blown,4,False
561,blows,4,False
562,blowy,5,False
563,blues,4,False
564,bluff,3,False
565,blunt,4,False
566,blurb,5,False
567,blurt,5,False
568,blush,3,False
569,boann,4,False
570,board,3,False
571,boast,4,False
572,boats,5,False
573,bobby,6,False
574,bocca,3,False
575,bocce,3,False
576,bogey,3,False
