game,word,score,fallback
0,abaca,4,False
1,aback,3,False
2,abaft,3,False
3,abase,3,False
4,abash,3,False
5,abate,4,False
6,abbey,4,False
7,abbot,4,False
8,abdal,4,False
9,abeam,4,False
10,abest,4,False
11,abhor,4,False
12,abide,3,False
13,abies,4,False
14,abiit,5,False
15,abito,5,False
16,abode,4,False
17,abohm,3,False
18,abois,4,False
19,abord,3,False
20,abort,4,False
21,about,4,False
22,above,4,False
23,abuna,4,False
24,abuse,5,False
25,abuzz,5,False
26,abysm,4,False
27,abyss,5,False
28,accoy,5,False
29,accra,5,False
30,acerb,3,False
31,achar,3,False
32,ackee,4,False
33,acned,3,False
34,acold,3,False
35,acorn,3,False
36,acres,4,False
37,acrid,3,False
38,acris,4,False
39,acted,4,False
40,actin,3,False
41,actor,4,False
42,actum,4,False
43,actus,5,False
44,acute,5,False
45,adlib,3,False
46,adaga,3,True
47,adage,4,False
48,adams,4,True
49,adapa,5,True
50,adapt,4,True
51,addax,5,False
52,added,6,False
53,adder,5,False
54,addle,4,False
55,adeem,4,False
56,adept,4,False
57,adieu,4,False
58,adige,3,False
59,aditi,4,False
60,adjuc,4,False
61,admit,4,False
62,adobe,4,False
63,adobo,4,False
64,adopt,3,False
65,adore,4,False
66,adorn,3,False
67,adown,4,False
68,adult,5,False
69,adust,4,False
70,aedes,5,False
71,aegis,4,False
72,aegri,3,False
73,aequa,5,False
74,aequo,4,False
75,aerie,5,False
76,aesir,4,False
77,aesop,4,False
78,aetas,6,False
79,affix,4,False
80,afire,3,False
81,aflak,3,False
82,afoot,4,False
83,afore,3,False
84,afoul,4,False
85,afric,3,False
86,after,4,False
87,again,3,True
88,agama,4,True
89,agape,5,False
90,agate,5,False
91,agave,5,False
92,agaze,6,False
93,agent,4,False
94,aggro,3,False
95,aghan,4,False
96,agile,3,False
97,aging,5,False
98,agjus,3,False
99,aglet,4,False
100,aglow,5,False
101,agnus,4,False
102,agony,4,False
103,agora,3,False
104,agree,5,False
105,ahead,3,False
106,ahura,5,False
107,aimer,4,False
108,aioli,4,False
109,aired,4,False
110,aisle,4,False
111,aitch,3,False
112,aiunt,5,False
113,ajaia,4,True
114,ajuga,4,False
115,akron,4,False
116,alack,4,True
117,alamo,5,True
118,alarm,4,True
119,alate,5,False
120,album,4,False
121,alcea,4,False
122,alces,5,False
123,alder,4,False
124,aldol,5,False
125,aleph,3,False
126,alert,4,False
127,aleut,5,False
128,algal,4,False
129,alget,4,False
130,algid,3,False
131,algin,3,False
132,algol,4,False
133,alias,4,False
134,alibi,3,False
135,alien,3,False
136,align,4,False
137,aliis,4,False
138,alike,4,False
139,alive,5,False
140,alkyd,3,False
141,alkyl,5,False
142,allah,5,False
143,allay,5,False
144,aller,6,False
145,alley,6,False
146,allot,5,False
147,allow,6,False
148,alloy,7,False
149,allyl,6,False
150,alnus,5,False
151,aloes,4,False
152,aloft,3,False
153,alogy,5,False
154,aloha,5,False
155,alone,4,False
156,along,4,False
157,aloof,4,False
158,alosa,4,False
159,aloud,3,False
160,alpha,5,False
161,altar,5,False
162,alter,5,False
163,alula,5,False
164,amain,5,True
165,amari,4,True
166,amass,5,True
167,amaze,6,False
168,amber,4,False
169,ambit,4,False
170,amble,3,False
171,ameba,4,False
172,ameer,5,False
173,amend,4,False
174,amice,3,False
175,amici,4,False
176,amide,3,False
177,amigo,4,False
178,amine,4,False
179,amino,4,False
180,amish,3,False
181,amiss,6,False
182,amity,5,False
183,amman,5,False
184,amnis,4,False
185,amole,4,False
186,among,4,False
187,amore,4,False
188,amort,4,False
189,amoto,5,False
190,amour,4,False
191,ample,5,False
192,amply,4,False
193,amuck,4,False
194,amuse,5,False
195,anasa,4,True
196,andes,4,False
197,anele,5,False
198,anent,4,False
199,angas,4,False
200,angel,3,False
201,anger,4,False
202,angle,4,False
203,angry,3,False
204,angst,4,False
205,anile,4,False
206,anima,4,False
207,anime,5,False
208,animi,5,False
209,animo,5,False
210,anion,5,False
211,anise,5,False
212,anjou,4,False
213,ankel,4,False
214,ankle,4,False
215,ankus,4,False
216,annex,4,False
217,annis,5,False
218,annoy,5,False
219,annul,5,False
220,annum,5,False
221,annus,5,False
222,anode,3,False
223,anser,4,False
224,antic,4,False
225,antum,4,False
226,anvil,4,False
227,aorta,4,False
228,aotus,5,False
229,apace,6,False
230,apart,6,True
231,apery,5,False
232,aphid,4,False
233,aphis,4,False
234,apian,4,False
235,aping,4,False
236,apios,5,False
237,apish,4,False
238,apium,4,False
239,apnea,4,False
240,appal,5,False
241,apple,5,False
242,apply,5,False
243,appro,4,False
244,apres,5,False
245,april,4,False
246,apron,5,False
247,aprum,4,False
248,aqaba,4,False
249,araba,5,False
250,arado,4,True
251,arare,8,False
252,arawn,6,True
253,arbor,4,False
254,arced,4,False
255,arceo,4,False
256,arcus,5,False
257,ardea,6,False
258,ardeb,3,False
259,ardet,5,False
260,ardor,4,False
261,areal,6,False
262,areas,5,False
263,areca,5,False
264,arena,6,False
265,arete,5,False
266,argil,3,False
267,argol,3,False
268,argon,4,False
269,argos,5,False
270,argot,6,False
271,argue,4,False
272,argus,4,False
273,arhat,5,False
274,ariel,4,False
275,aries,4,False
276,arins,4,False
277,arise,4,False
278,arius,5,False
279,armed,4,False
280,armet,5,False
281,armis,4,False
282,armor,5,False
283,aroid,3,False
284,aroma,4,False
285,arose,5,False
286,arras,4,False
287,array,6,False
288,arrow,6,False
289,arson,4,False
290,artem,4,False
291,artes,6,False
292,aruba,5,False
293,arulo,4,False
294,aruru,5,False
295,aryan,6,False
296,asana,6,True
297,asarh,3,True
298,ascii,3,False
299,ascot,5,False
300,ascus,6,False
301,ashen,3,False
302,ashes,4,False
303,ashur,4,False
304,asian,5,False
305,aside,4,False
306,asked,5,False
307,askew,5,False
308,aspen,4,False
309,asper,5,False
310,aspic,4,False
311,assai,5,False
312,assam,5,False
313,assay,6,False
314,asses,6,False
315,asset,5,False
316,assur,5,False
317,aster,6,False
318,astir,4,False
319,astra,4,False
320,asura,5,False
321,aswan,4,False
322,atajo,4,True
323,atilt,4,False
324,atlas,4,False
325,atole,5,False
326,atoll,4,False
327,atoms,4,False
328,atomy,5,False
329,atone,4,False
330,atony,5,False
331,atque,5,False
332,atqui,5,False
